Item,Condition,Sentence,Target,score,tscore,tok_scores
3,accusative,Sofía vio a José en el colegio por la mañana del martes.,José,5.676959037780762,8.86784553527832,"[('Sofía', 9.014257431030273), ('vio', 12.376410007476807), ('a', 9.303844451904297), ('José', 8.86784553527832), ('en', 6.579791069030762), ('el', 3.7743144035339355), ('colegio', 7.45436429977417), ('por', 7.462368011474609), ('la', 4.243290901184082), ('mañana', 10.788165092468262), ('del', 2.904186248779297), ('martes', 11.693538665771484), ('.', 2.045927047729492)]"
3,accusative_doubled,Sofía lo vio a José en el colegio por la mañana del martes.,José,5.926427364349365,8.860015869140625,"[('Sofía', 9.537507057189941), ('lo', 8.319900512695312), ('vio', 14.075392723083496), ('a', 9.037091255187988), ('José', 8.860015869140625), ('en', 6.516746520996094), ('el', 3.6730899810791016), ('colegio', 7.805508136749268), ('por', 7.1817779541015625), ('la', 3.9585800170898438), ('mañana', 10.925895690917969), ('del', 2.959723472595215), ('martes', 11.638670444488525), ('.', 2.1857833862304688)]"
4,dative,Lucas vendió unas tartas a Mariana en la panadería del centro de la ciudad.,Mariana,5.4160637855529785,11.482874870300293,"[('Lucas', 9.16821575164795), ('vendió', 11.881231307983398), ('unas', 12.945456981658936), ('tartas', 14.786094665527344), ('a', 7.32526159286499), ('Mariana', 11.482874870300293), ('en', 6.323401927947998), ('la', 3.094670295715332), ('panadería', 23.12193012237549), ('del', 1.4731063842773438), ('centro', 4.623991012573242), ('de', 0.3152894973754883), ('la', 0.5234775543212891), ('ciudad', 5.440600872039795), ('.', 1.2317333221435547)]"
4,dative_doubled,Lucas le vendió unas tartas a Mariana en la panadería del centro de la ciudad.,Mariana,5.510114669799805,11.459285736083984,"[('Lucas', 9.152457237243652), ('le', 6.4294281005859375), ('vendió', 13.005675792694092), ('unas', 12.535985946655273), ('tartas', 14.819190979003906), ('a', 7.335104942321777), ('Mariana', 11.459285736083984), ('en', 6.294278144836426), ('la', 2.931302070617676), ('panadería', 23.02953290939331), ('del', 1.5442514419555664), ('centro', 4.742363929748535), ('de', 0.3056507110595703), ('la', 0.5411872863769531), ('ciudad', 5.667489528656006), ('.', 1.4293403625488281)]"
4,accusative,Lucas abrazó a Mariana en la panadería del centro de la ciudad.,Mariana,5.282359600067139,12.67210865020752,"[('Lucas', 9.444150924682617), ('abrazó', 14.746557712554932), ('a', 6.649766445159912), ('Mariana', 12.67210865020752), ('en', 7.103962421417236), ('la', 2.8401260375976562), ('panadería', 22.786253929138184), ('del', 1.6272916793823242), ('centro', 4.660150051116943), ('de', 0.2695302963256836), ('la', 0.5514011383056641), ('ciudad', 5.170429706573486), ('.', 1.2783756256103516)]"
4,accusative_doubled,Lucas la abrazó a Mariana en la panadería del centro de la ciudad.,Mariana,5.286375045776367,12.747627258300781,"[('Lucas', 10.577770233154297), ('la', 3.689335823059082), ('abrazó', 15.724064350128174), ('a', 6.54026985168457), ('Mariana', 12.747627258300781), ('en', 7.109252452850342), ('la', 2.482118606567383), ('panadería', 22.594064712524414), ('del', 1.689427375793457), ('centro', 4.689738750457764), ('de', 0.2699470520019531), ('la', 0.4988374710083008), ('ciudad', 5.165360927581787), ('.', 1.3769330978393555)]"
5,dative,Marta compró un regalo a Carlos en el mercado de la avenida por la tarde.,Carlos,5.305660247802734,10.82499885559082,"[('Marta', 7.971623420715332), ('compró', 12.116997718811035), ('un', 8.664194107055664), ('regalo', 14.279075622558594), ('a', 8.44842529296875), ('Carlos', 10.82499885559082), ('en', 5.465056896209717), ('el', 3.938202381134033), ('mercado', 10.144296646118164), ('de', 0.9361019134521484), ('la', 1.0515375137329102), ('avenida', 13.548794269561768), ('por', 6.345445156097412), ('la', 3.135899543762207), ('tarde', 13.831504821777344), ('.', 1.3280391693115234)]"
5,dative_doubled,Marta le compró un regalo a Carlos en el mercado de la avenida por la tarde.,Carlos,5.328723907470703,10.92064380645752,"[('Marta', 8.367733001708984), ('le', 5.293766975402832), ('compró', 12.024104118347168), ('un', 8.325304985046387), ('regalo', 14.585136890411377), ('a', 8.507678985595703), ('Carlos', 10.92064380645752), ('en', 5.280235290527344), ('el', 3.9525251388549805), ('mercado', 10.305682182312012), ('de', 0.9516220092773438), ('la', 1.0426502227783203), ('avenida', 13.712275981903076), ('por', 6.386836528778076), ('la', 3.2261648178100586), ('tarde', 13.797367095947266), ('.', 1.2096529006958008)]"
5,accusative,Marta empujó a Carlos en el mercado de la avenida por la tarde.,Carlos,5.109358787536621,10.855690002441406,"[('Marta', 7.342520713806152), ('empujó', 20.59315776824951), ('a', 7.915853500366211), ('Carlos', 10.855690002441406), ('en', 5.619000434875488), ('el', 4.0244059562683105), ('mercado', 10.387087345123291), ('de', 0.9879369735717773), ('la', 0.9684715270996094), ('avenida', 13.582693099975586), ('por', 6.373897075653076), ('la', 3.1822071075439453), ('tarde', 14.110073566436768), ('.', 1.353529930114746)]"
5,accusative_doubled,Marta lo empujó a Carlos en el mercado de la avenida por la tarde.,Carlos,5.221259593963623,10.771879196166992,"[('Marta', 7.421669960021973), ('lo', 6.417477130889893), ('empujó', 21.5607647895813), ('a', 7.877864837646484), ('Carlos', 10.771879196166992), ('en', 5.671219825744629), ('el', 4.008743762969971), ('mercado', 10.435786724090576), ('de', 1.026402473449707), ('la', 0.9710836410522461), ('avenida', 13.710452556610107), ('por', 6.212765693664551), ('la', 3.1279172897338867), ('tarde', 14.01077127456665), ('.', 1.6429176330566406)]"
6,dative,Ricardo regaló un peluche a Patricia durante el festival del sábado a la tarde.,Patricia,5.9281697273254395,10.692225456237793,"[('Ricardo', 5.804827690124512), ('regaló', 11.697856903076172), ('un', 7.813353538513184), ('peluche', 18.80980396270752), ('a', 5.576825141906738), ('Patricia', 10.692225456237793), ('durante', 8.650266170501709), ('el', 6.574479103088379), ('festival', 9.71007251739502), ('del', 3.77095890045166), ('sábado', 14.959084033966064), ('a', 7.191854953765869), ('la', 3.354142665863037), ('tarde', 14.975660800933838), ('.', 0.8383331298828125)]"
6,dative_doubled,Ricardo le regaló un peluche a Patricia durante el festival del sábado a la tarde.,Patricia,5.973242282867432,10.43329906463623,"[('Ricardo', 6.128563404083252), ('le', 5.970873832702637), ('regaló', 13.613110542297363), ('un', 7.688108444213867), ('peluche', 18.591880798339844), ('a', 5.676268100738525), ('Patricia', 10.43329906463623), ('durante', 8.56975269317627), ('el', 6.448840618133545), ('festival', 9.594146728515625), ('del', 3.822113037109375), ('sábado', 15.087772846221924), ('a', 7.2908406257629395), ('la', 2.9532909393310547), ('tarde', 14.752941131591797), ('.', 0.7627592086791992)]"
6,accusative,Ricardo conoció a Patricia durante el festival del sábado a la tarde.,Patricia,5.825750827789307,10.744331359863281,"[('Ricardo', 5.445986270904541), ('conoció', 17.266152381896973), ('a', 5.625238418579102), ('Patricia', 10.744331359863281), ('durante', 8.369590282440186), ('el', 6.626865386962891), ('festival', 9.63691520690918), ('del', 3.8583526611328125), ('sábado', 16.056244373321533), ('a', 7.50090217590332), ('la', 3.832932472229004), ('tarde', 15.294397354125977), ('.', 0.4313545227050781)]"
6,accusative_doubled,Ricardo la conoció a Patricia durante el festival del sábado a la tarde.,Patricia,5.70184326171875,10.632547378540039,"[('Ricardo', 5.904660224914551), ('la', 3.372286796569824), ('conoció', 17.511363983154297), ('a', 5.563899040222168), ('Patricia', 10.632547378540039), ('durante', 8.331004619598389), ('el', 6.3732171058654785), ('festival', 9.298614501953125), ('del', 3.729973793029785), ('sábado', 16.093763828277588), ('a', 7.786406517028809), ('la', 3.597393035888672), ('tarde', 15.379546165466309), ('.', 0.46218204498291016)]"
7,dative,Sonia envió unos mensajes a Matías en la oficina del jefe de la compañía.,Matías,5.721107482910156,8.511113166809082,"[('Sonia', 9.477469444274902), ('envió', 15.01294755935669), ('unos', 14.449745178222656), ('mensajes', 19.919625282287598), ('a', 7.172025680541992), ('Matías', 8.511113166809082), ('en', 5.725607395172119), ('la', 8.371420860290527), ('oficina', 25.77717351913452), ('del', 4.274702548980713), ('jefe', 14.691986083984375), ('de', 1.772684097290039), ('la', 1.3628110885620117), ('compañía', 11.59977674484253), ('.', 0.6297121047973633)]"
7,dative_doubled,Sonia le envió unos mensajes a Matías en la oficina del jefe de la compañía.,Matías,5.706070899963379,8.526412010192871,"[('Sonia', 8.772745132446289), ('le', 5.713543891906738), ('envió', 15.23109245300293), ('unos', 14.63149881362915), ('mensajes', 20.356801509857178), ('a', 7.13668966293335), ('Matías', 8.526412010192871), ('en', 5.596932888031006), ('la', 8.178488731384277), ('oficina', 25.682575225830078), ('del', 4.287471771240234), ('jefe', 14.453484058380127), ('de', 1.8234004974365234), ('la', 1.3973207473754883), ('compañía', 11.611319541931152), ('.', 0.6641502380371094)]"
7,accusative,Sonia interrogó a Matías en la oficina del jefe de la compañía.,Matías,5.666955947875977,10.09159803390503,"[('Sonia', 9.148661613464355), ('interrogó', 18.2554988861084), ('a', 7.160575866699219), ('Matías', 10.09159803390503), ('en', 5.8997368812561035), ('la', 8.672592163085938), ('oficina', 25.28849744796753), ('del', 3.727612018585205), ('jefe', 15.486585140228271), ('de', 1.4166641235351562), ('la', 1.2086381912231445), ('compañía', 12.10213565826416), ('.', 0.5472888946533203)]"
7,accusative_doubled,Sonia lo interrogó a Matías en la oficina del jefe de la compañía.,Matías,5.777957439422607,10.378831386566162,"[('Sonia', 8.743265151977539), ('lo', 7.285264015197754), ('interrogó', 19.936838150024414), ('a', 7.009374618530273), ('Matías', 10.378831386566162), ('en', 5.951902866363525), ('la', 8.26716423034668), ('oficina', 25.269607543945312), ('del', 3.7209787368774414), ('jefe', 15.316949844360352), ('de', 1.4251298904418945), ('la', 1.1262092590332031), ('compañía', 11.936012744903564), ('.', 0.7475252151489258)]"
8,dative,Nicolás prestó sus pesas a Sandra en el gimnasio del club de fútbol.,Sandra,5.913070201873779,14.431896209716797,"[('Nicolás', 7.0110368728637695), ('prestó', 13.557293891906738), ('sus', 12.80196475982666), ('pesas', 12.133646488189697), ('a', 7.95730447769165), ('Sandra', 14.431896209716797), ('en', 5.786909103393555), ('el', 5.467676639556885), ('gimnasio', 21.218005180358887), ('del', 3.8019542694091797), ('club', 7.145238876342773), ('de', 1.9218149185180664), ('fútbol', 15.245210647583008), ('.', 1.6075935363769531)]"
8,dative_doubled,Nicolás le prestó sus pesas a Sandra en el gimnasio del club de fútbol.,Sandra,5.813230991363525,14.315354347229004,"[('Nicolás', 5.948856830596924), ('le', 4.892688274383545), ('prestó', 13.536669731140137), ('sus', 12.687549591064453), ('pesas', 12.183756351470947), ('a', 8.028152465820312), ('Sandra', 14.315354347229004), ('en', 5.551526069641113), ('el', 5.145593166351318), ('gimnasio', 21.34574270248413), ('del', 3.86407470703125), ('club', 7.307773590087891), ('de', 1.791682243347168), ('fútbol', 15.48063039779663), ('.', 1.6242589950561523)]"
8,accusative,Nicolás buscó a Sandra en el gimnasio del club de fútbol.,Sandra,5.8237786293029785,13.493943214416504,"[('Nicolás', 7.158604621887207), ('buscó', 13.713400840759277), ('a', 7.689414024353027), ('Sandra', 13.493943214416504), ('en', 6.048943996429443), ('el', 5.332276821136475), ('gimnasio', 21.23289442062378), ('del', 3.8799047470092773), ('club', 6.667272090911865), ('de', 1.8981761932373047), ('fútbol', 16.08850908279419), ('.', 1.6246824264526367)]"
8,accusative_doubled,Nicolás la buscó a Sandra en el gimnasio del club de fútbol.,Sandra,5.6827778816223145,13.621366500854492,"[('Nicolás', 7.184028625488281), ('la', 2.9937992095947266), ('buscó', 13.764400005340576), ('a', 7.490884304046631), ('Sandra', 13.621366500854492), ('en', 5.66491174697876), ('el', 5.001551151275635), ('gimnasio', 21.747693061828613), ('del', 3.5453405380249023), ('club', 6.7891621589660645), ('de', 1.7514123916625977), ('fútbol', 16.838075637817383), ('.', 1.5801525115966797)]"
9,dative,Clara devolvió los zapatos a Emilio en la zapatería de un barrio de Nueva York.,Emilio,6.309596538543701,9.65710163116455,"[('Clara', 8.447038650512695), ('devolvió', 20.674643516540527), ('los', 7.086338996887207), ('zapatos', 19.417717933654785), ('a', 8.05819320678711), ('Emilio', 9.65710163116455), ('en', 6.024502754211426), ('la', 4.451844215393066), ('zapatería', 15.976045608520508), ('de', 1.8355131149291992), ('un', 11.676346778869629), ('barrio', 10.271014213562012), ('de', 0.9374284744262695), ('Nueva', 5.130277633666992), ('York', 8.938329696655273), ('.', 0.22879886627197266)]"
9,dative_doubled,Clara le devolvió los zapatos a Emilio en la zapatería de un barrio de Nueva York.,Emilio,6.356104850769043,9.60140609741211,"[('Clara', 8.220245361328125), ('le', 6.667486190795898), ('devolvió', 21.545502185821533), ('los', 7.235438346862793), ('zapatos', 19.48723268508911), ('a', 8.03634262084961), ('Emilio', 9.60140609741211), ('en', 5.947312831878662), ('la', 4.192293643951416), ('zapatería', 16.041534423828125), ('de', 1.8338184356689453), ('un', 11.613685607910156), ('barrio', 10.476570129394531), ('de', 0.8682126998901367), ('Nueva', 5.305310249328613), ('York', 8.87678050994873), ('.', 0.24123191833496094)]"
9,accusative,Clara vio a Emilio en la zapatería de un barrio de Nueva York.,Emilio,6.2250471115112305,9.429377555847168,"[('Clara', 7.914986610412598), ('vio', 13.174060821533203), ('a', 7.3551249504089355), ('Emilio', 9.429377555847168), ('en', 6.105091094970703), ('la', 3.8359336853027344), ('zapatería', 17.753929138183594), ('de', 1.6806516647338867), ('un', 12.06574535369873), ('barrio', 10.305453300476074), ('de', 0.9664106369018555), ('Nueva', 5.662599563598633), ('York', 9.321488380432129), ('.', 0.2549428939819336)]"
9,accusative_doubled,Clara lo vio a Emilio en la zapatería de un barrio de Nueva York.,Emilio,6.4107346534729,9.439515113830566,"[('Clara', 8.194058418273926), ('lo', 7.942394733428955), ('vio', 14.669874668121338), ('a', 7.274089336395264), ('Emilio', 9.439515113830566), ('en', 6.005011081695557), ('la', 3.844600200653076), ('zapatería', 17.97828245162964), ('de', 1.6697769165039062), ('un', 11.902438163757324), ('barrio', 10.11121940612793), ('de', 0.9685945510864258), ('Nueva', 5.868442535400391), ('York', 9.234172821044922), ('.', 0.29075145721435547)]"
10,dative,Hugo vendió unos collares a Susana en la feria de artesanía del pueblo.,Susana,5.031662464141846,10.794366836547852,"[('Hugo', 7.45410680770874), ('vendió', 11.25312852859497), ('unos', 14.971400260925293), ('collares', 13.408300399780273), ('a', 7.692127227783203), ('Susana', 10.794366836547852), ('en', 6.051390171051025), ('la', 3.2530651092529297), ('feria', 8.200931549072266), ('de', 1.3791742324829102), ('artesanía', 15.511054039001465), ('del', 1.8274507522583008), ('pueblo', 7.52197265625), ('.', 1.3781118392944336)]"
10,dative_doubled,Hugo le vendió unos collares a Susana en la feria de artesanía del pueblo.,Susana,5.122593402862549,10.603562355041504,"[('Hugo', 7.084784030914307), ('le', 5.987290859222412), ('vendió', 12.587786197662354), ('unos', 14.926615238189697), ('collares', 13.187058448791504), ('a', 7.704075336456299), ('Susana', 10.603562355041504), ('en', 5.992966175079346), ('la', 3.096096992492676), ('feria', 8.354700088500977), ('de', 1.3632488250732422), ('artesanía', 15.846936702728271), ('del', 1.8698310852050781), ('pueblo', 7.857089042663574), ('.', 1.357609748840332)]"
10,accusative,Hugo abrazó a Susana en la feria de artesanía del pueblo.,Susana,4.751277446746826,10.84565544128418,"[('Hugo', 8.112842559814453), ('abrazó', 13.389060020446777), ('a', 7.2822747230529785), ('Susana', 10.84565544128418), ('en', 6.690427303314209), ('la', 3.3563928604125977), ('feria', 8.86133337020874), ('de', 1.1132736206054688), ('artesanía', 15.653962135314941), ('del', 1.8236560821533203), ('pueblo', 7.565568923950195), ('.', 0.8285455703735352)]"
10,accusative_doubled,Hugo la abrazó a Susana en la feria de artesanía del pueblo.,Susana,4.769019603729248,10.944733619689941,"[('Hugo', 8.978520393371582), ('la', 3.606846332550049), ('abrazó', 14.379993915557861), ('a', 7.120336055755615), ('Susana', 10.944733619689941), ('en', 6.523383140563965), ('la', 2.963411331176758), ('feria', 8.765869617462158), ('de', 1.1306543350219727), ('artesanía', 15.898278713226318), ('del', 1.8480262756347656), ('pueblo', 7.5506205558776855), ('.', 0.9006967544555664)]"
11,dative,Ariana compró varios tickets a Jesús en la estación de tren de Retiro.,Jesús,5.9849677085876465,11.527031898498535,"[('Ariana', 9.521721839904785), ('compró', 14.056349754333496), ('varios', 13.952293395996094), ('tickets', 16.756839752197266), ('a', 7.332330226898193), ('Jesús', 11.527031898498535), ('en', 5.872189998626709), ('la', 3.0728225708007812), ('estación', 7.498021602630615), ('de', 1.5800018310546875), ('tren', 13.854380130767822), ('de', 2.8875856399536133), ('Retiro', 17.047088146209717), ('.', 0.7256660461425781)]"
11,dative_doubled,Ariana le compró varios tickets a Jesús en la estación de tren de Retiro.,Jesús,5.971640110015869,11.601096153259277,"[('Ariana', 9.70046329498291), ('le', 6.0276994705200195), ('compró', 12.994702339172363), ('varios', 14.159255027770996), ('tickets', 16.86005210876465), ('a', 7.448788166046143), ('Jesús', 11.601096153259277), ('en', 5.767788887023926), ('la', 2.8630380630493164), ('estación', 7.631875514984131), ('de', 1.6743669509887695), ('tren', 13.76745080947876), ('de', 2.8333487510681152), ('Retiro', 17.245654106140137), ('.', 0.8005161285400391)]"
11,accusative,Ariana empujó a Jesús en la estación de tren de Retiro.,Jesús,5.177657127380371,10.246910095214844,"[('Ariana', 9.147731304168701), ('empujó', 20.024539947509766), ('a', 6.138582706451416), ('Jesús', 10.246910095214844), ('en', 5.538862705230713), ('la', 2.6201982498168945), ('estación', 8.271366119384766), ('de', 1.5756721496582031), ('tren', 13.722790718078613), ('de', 2.9012203216552734), ('Retiro', 17.3311767578125), ('.', 0.8564386367797852)]"
11,accusative_doubled,Ariana lo empujó a Jesús en la estación de tren de Retiro.,Jesús,5.398180961608887,10.404972076416016,"[('Ariana', 9.340774536132812), ('lo', 7.860269069671631), ('empujó', 21.430562496185303), ('a', 6.200595855712891), ('Jesús', 10.404972076416016), ('en', 5.543400764465332), ('la', 2.588883399963379), ('estación', 8.32107400894165), ('de', 1.700521469116211), ('tren', 13.59386157989502), ('de', 2.8540635108947754), ('Retiro', 17.24882221221924), ('.', 0.8758220672607422)]"
12,dative,Gonzalo regaló su computadora a Catalina antes del viaje a Europa durante el verano.,Catalina,5.54476261138916,8.879314422607422,"[('Gonzalo', 4.982568740844727), ('regaló', 10.569814682006836), ('su', 8.166143417358398), ('computadora', 19.392232418060303), ('a', 6.5182719230651855), ('Catalina', 8.879314422607422), ('antes', 9.319530010223389), ('del', 5.54717493057251), ('viaje', 15.84253215789795), ('a', 6.360334396362305), ('Europa', 13.880820274353027), ('durante', 13.030243396759033), ('el', 4.861338138580322), ('verano', 10.599597930908203), ('.', 0.6691379547119141)]"
12,dative_doubled,Gonzalo le regaló su computadora a Catalina antes del viaje a Europa durante el verano.,Catalina,5.6442694664001465,8.879541397094727,"[('Gonzalo', 4.747196197509766), ('le', 7.16272497177124), ('regaló', 12.148307800292969), ('su', 7.804060935974121), ('computadora', 19.4013614654541), ('a', 6.600518703460693), ('Catalina', 8.879541397094727), ('antes', 9.259170532226562), ('del', 5.647154331207275), ('viaje', 15.796387195587158), ('a', 6.377715110778809), ('Europa', 13.76803207397461), ('durante', 13.013127326965332), ('el', 4.754704475402832), ('verano', 10.623146533966064), ('.', 0.7678709030151367)]"
12,accusative,Gonzalo conoció a Catalina antes del viaje a Europa durante el verano.,Catalina,5.545901298522949,9.935263633728027,"[('Gonzalo', 4.721077919006348), ('conoció', 17.14801788330078), ('a', 5.910231590270996), ('Catalina', 9.935263633728027), ('antes', 8.845686912536621), ('del', 5.339242458343506), ('viaje', 15.715119361877441), ('a', 6.279324054718018), ('Europa', 13.87584114074707), ('durante', 12.780406475067139), ('el', 4.791965484619141), ('verano', 10.753715991973877), ('.', 0.3680267333984375)]"
12,accusative_doubled,Gonzalo la conoció a Catalina antes del viaje a Europa durante el verano.,Catalina,5.477268695831299,9.988933563232422,"[('Gonzalo', 5.205820083618164), ('la', 4.324114799499512), ('conoció', 16.91421413421631), ('a', 5.947002410888672), ('Catalina', 9.988933563232422), ('antes', 8.819472789764404), ('del', 5.307490348815918), ('viaje', 15.68132209777832), ('a', 6.147900104522705), ('Europa', 13.93083667755127), ('durante', 12.444576263427734), ('el', 4.589812755584717), ('verano', 10.725458145141602), ('.', 0.47295475006103516)]"
13,dative,Pilar envió un paquete a Samuel en la oficina de correo del centro comercial.,Samuel,5.960366725921631,12.83962345123291,"[('Pilar', 8.430147171020508), ('envió', 14.984588146209717), ('un', 7.547909259796143), ('paquete', 18.432382583618164), ('a', 6.85366678237915), ('Samuel', 12.83962345123291), ('en', 5.976230144500732), ('la', 9.033448219299316), ('oficina', 25.849499702453613), ('de', 2.3898439407348633), ('correo', 7.773670196533203), ('del', 1.8583459854125977), ('centro', 5.508935928344727), ('comercial', 20.958428382873535), ('.', 0.5724458694458008)]"
13,dative_doubled,Pilar le envió un paquete a Samuel en la oficina de correo del centro comercial.,Samuel,5.9887800216674805,12.806743621826172,"[('Pilar', 8.634936332702637), ('le', 5.835537910461426), ('envió', 15.440571308135986), ('un', 7.683896064758301), ('paquete', 18.207436084747314), ('a', 6.952132701873779), ('Samuel', 12.806743621826172), ('en', 5.905850410461426), ('la', 8.682661056518555), ('oficina', 25.978721618652344), ('de', 2.3673019409179688), ('correo', 7.779703140258789), ('del', 1.9898366928100586), ('centro', 5.727532386779785), ('comercial', 21.055255889892578), ('.', 0.6601648330688477)]"
13,accusative,Pilar interrogó a Samuel en la oficina de correo del centro comercial.,Samuel,5.802684783935547,13.847484588623047,"[('Pilar', 8.949071407318115), ('interrogó', 17.919589042663574), ('a', 7.1881794929504395), ('Samuel', 13.847484588623047), ('en', 6.498651504516602), ('la', 9.861542701721191), ('oficina', 24.94974422454834), ('de', 2.2549867630004883), ('correo', 7.784791946411133), ('del', 1.756368637084961), ('centro', 5.066308498382568), ('comercial', 21.15701961517334), ('.', 0.4253120422363281)]"
